FAM_0001;REF
HALDEX  ;025035209                
HALDEX  ;025035709                
HALDEX  ;025035729                
HALDEX  ;025037909                
HALDEX  ;025038209                
HALDEX  ;025040209                
HALDEX  ;025040509                
HALDEX  ;025040609                
HALDEX  ;025040709                
HALDEX  ;025040809                
HALDEX  ;025040909                
HALDEX  ;025044719                
HALDEX  ;025045209                
HALDEX  ;025045409                
HALDEX  ;025045509                
HALDEX  ;025046609                
HALDEX  ;025046909                
HALDEX  ;025047809                
HALDEX  ;025048209                
HALDEX  ;025050009                
HALDEX  ;0250501090               
HALDEX  ;0250503090               
HALDEX  ;025050809                
HALDEX  ;025052309                
HALDEX  ;025052819                
HALDEX  ;025053209                
HALDEX  ;025056409                
HALDEX  ;025056509                
HALDEX  ;025057909                
HALDEX  ;025062209                
HALDEX  ;026000509                
HALDEX  ;026000709                
HALDEX  ;026003209                
HALDEX  ;026003309                
HALDEX  ;026003409                
HALDEX  ;026004709                
HALDEX  ;026005319                
HALDEX  ;026006509                
HALDEX  ;026012009                
HALDEX  ;026012109                
HALDEX  ;026012909                
HALDEX  ;026013709                
HALDEX  ;026015409                
HALDEX  ;026015609                
HALDEX  ;027001309                
HALDEX  ;027002409                
HALDEX  ;027004809                
HALDEX  ;027009829                
HALDEX  ;027010109                
HALDEX  ;027010209                
HALDEX  ;027010909                
HALDEX  ;027011019                
HALDEX  ;027014209                
HALDEX  ;027018009                
HALDEX  ;027020909                
HALDEX  ;027022209                
HALDEX  ;027023309                
HALDEX  ;027042109                
HALDEX  ;027047009                
HALDEX  ;027047109                
HALDEX  ;027049009                
HALDEX  ;027050209                
HALDEX  ;0270502090               
HALDEX  ;027050309                
HALDEX  ;0270510090               
HALDEX  ;027053009                
HALDEX  ;027054409                
HALDEX  ;027055309                
HALDEX  ;027056509                
HALDEX  ;027056519                
HALDEX  ;027056609                
HALDEX  ;027056709                
HALDEX  ;027059409                
HALDEX  ;027062009                
HALDEX  ;027066509                
HALDEX  ;027075209                
HALDEX  ;027503109                
HALDEX  ;027503209                
HALDEX  ;027503309                
HALDEX  ;027503509                
HALDEX  ;027504309                
HALDEX  ;027504409                
HALDEX  ;027504509                
HALDEX  ;027507809                
HALDEX  ;027526009                
HALDEX  ;028002609                
HALDEX  ;028003009                
HALDEX  ;028003109                
HALDEX  ;028021609                
HALDEX  ;028023509                
HALDEX  ;028027909                
HALDEX  ;028028009                
HALDEX  ;028030309                
HALDEX  ;028035509                
HALDEX  ;028035529                
HALDEX  ;028037009                
HALDEX  ;028038309                
HALDEX  ;028041019                
HALDEX  ;028041029                
HALDEX  ;028042409                
HALDEX  ;028044309                
HALDEX  ;028047609                
HALDEX  ;028047719                
HALDEX  ;028047809                
HALDEX  ;028050809                
HALDEX  ;028050909                
HALDEX  ;028051609                
HALDEX  ;028051909                
HALDEX  ;028506809                
HALDEX  ;028515409                
HALDEX  ;028518909                
HALDEX  ;028525709                
HALDEX  ;028526209                
HALDEX  ;028532409                
HALDEX  ;028534009                
HALDEX  ;028539109                
HALDEX  ;029000109                
HALDEX  ;029000309                
HALDEX  ;029004609                
HALDEX  ;029006009                
HALDEX  ;029006409                
HALDEX  ;03003                    
HALDEX  ;03006030013U             
HALDEX  ;03006031013U             
HALDEX  ;03010039612C             
HALDEX  ;0301020615C              
HALDEX  ;03012039612C             
HALDEX  ;0301520615C              
HALDEX  ;0301520615CF             
HALDEX  ;030200109                
HALDEX  ;030200209                
HALDEX  ;030200309                
HALDEX  ;030200409                
HALDEX  ;030200609                
HALDEX  ;0302020615C              
HALDEX  ;0302024615C              
HALDEX  ;0302524615C              
HALDEX  ;0303024615C              
HALDEX  ;0303030014C              
HALDEX  ;030320246WB              
HALDEX  ;030330246WB              
HALDEX  ;030340276WB              
HALDEX  ;030350009                
HALDEX  ;030350109                
HALDEX  ;030350209                
HALDEX  ;030350509                
HALDEX  ;030350609                
HALDEX  ;030350909                
HALDEX  ;030351209                
HALDEX  ;030351309                
HALDEX  ;030351509                
HALDEX  ;030351609                
HALDEX  ;030351709                
HALDEX  ;030351809                
HALDEX  ;030352009                
HALDEX  ;030352109                
HALDEX  ;030352209                
HALDEX  ;030360310WB              
HALDEX  ;030360809                
HALDEX  ;030362009                
HALDEX  ;03036200912              
HALDEX  ;030363609                
HALDEX  ;030380396WB              
HALDEX  ;0303815415C              
HALDEX  ;030390709                
HALDEX  ;0304024615C              
HALDEX  ;0304027615C              
HALDEX  ;0304031013C              
HALDEX  ;030406001                
HALDEX  ;030406003                
HALDEX  ;030406004                
HALDEX  ;030406005                
HALDEX  ;030406006                
HALDEX  ;030406007                
HALDEX  ;030406008                
HALDEX  ;030406009                
HALDEX  ;0304531013C              
HALDEX  ;030512515D               
HALDEX  ;030515215A               
HALDEX  ;030515215B               
HALDEX  ;030520615F               
HALDEX  ;0306027613C              
HALDEX  ;0306027615C              
HALDEX  ;0306030013C              
HALDEX  ;0306031013C              
HALDEX  ;0306039612C              
HALDEX  ;0307020600               
HALDEX  ;0307024600               
HALDEX  ;0307027600               
HALDEX  ;0307031000               
HALDEX  ;0307039600               
HALDEX  ;0308031010C              
HALDEX  ;0308031013C              
HALDEX  ;0308039612C              
HALDEX  ;0309300000               
HALDEX  ;0309720600               
HALDEX  ;0309724600               
HALDEX  ;0309727600               
HALDEX  ;0309731000               
HALDEX  ;0309739600               
HALDEX  ;031000109                
HALDEX  ;031000209                
HALDEX  ;031000909                
HALDEX  ;031001209                
HALDEX  ;031001309                
HALDEX  ;031004109                
HALDEX  ;031005509                
HALDEX  ;031005609                
HALDEX  ;032000509                
HALDEX  ;032000709                
HALDEX  ;032000709A               
HALDEX  ;032001209                
HALDEX  ;032001309                
HALDEX  ;032001409                
HALDEX  ;032001509                
HALDEX  ;032001709                
HALDEX  ;032001809                
HALDEX  ;032001909                
HALDEX  ;032002009                
HALDEX  ;032002109                
HALDEX  ;032002309                
HALDEX  ;032002409                
HALDEX  ;032002509                
HALDEX  ;032002709                
HALDEX  ;032002809                
HALDEX  ;032002909                
HALDEX  ;032003209                
HALDEX  ;032003409                
HALDEX  ;032003509                
HALDEX  ;032003909                
HALDEX  ;032004009                
HALDEX  ;032004109                
HALDEX  ;032004209                
HALDEX  ;032004309                
HALDEX  ;032004409                
HALDEX  ;032005309                
HALDEX  ;032005709                
HALDEX  ;032005809                
HALDEX  ;032005909                
HALDEX  ;032006009                
HALDEX  ;032006109                
HALDEX  ;032006209                
HALDEX  ;032006309                
HALDEX  ;032006409                
